standard_set,item_code,item_name,region_grade,scale,limit_min,limit_max,unit,legal_basis,legal_article,effective_from,source,note
배출허용기준,WQ-008,수소이온농도,청정지역,,5.8,8.6,,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,국가법령정보센터 현행 별표 13 대조
배출허용기준,WQ-008,수소이온농도,가지역,,5.8,8.6,,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,국가법령정보센터 현행 별표 13 대조
배출허용기준,WQ-008,수소이온농도,나지역,,5.8,8.6,,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,국가법령정보센터 현행 별표 13 대조
배출허용기준,WQ-008,수소이온농도,특례지역,,5.8,8.6,,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,국가법령정보센터 현행 별표 13 대조
배출허용기준,WQ-001,생물화학적산소요구량,청정지역,large,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-001,생물화학적산소요구량,가지역,large,,60,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-001,생물화학적산소요구량,나지역,large,,80,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-001,생물화학적산소요구량,특례지역,large,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-001,생물화학적산소요구량,청정지역,small,,40,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-001,생물화학적산소요구량,가지역,small,,80,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-001,생물화학적산소요구량,나지역,small,,120,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-001,생물화학적산소요구량,특례지역,small,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-002,총유기탄소,청정지역,large,,25,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-002,총유기탄소,가지역,large,,40,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-002,총유기탄소,나지역,large,,50,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-002,총유기탄소,특례지역,large,,25,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-002,총유기탄소,청정지역,small,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-002,총유기탄소,가지역,small,,50,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-002,총유기탄소,나지역,small,,75,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-002,총유기탄소,특례지역,small,,25,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-004,부유물질,청정지역,large,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-004,부유물질,가지역,large,,60,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-004,부유물질,나지역,large,,80,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-004,부유물질,특례지역,large,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 이상
배출허용기준,WQ-004,부유물질,청정지역,small,,40,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-004,부유물질,가지역,small,,80,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-004,부유물질,나지역,small,,120,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
배출허용기준,WQ-004,부유물질,특례지역,small,,30,㎎/L,물환경보전법 시행규칙 별표 13,제34조,2026-06-22,law,1일 폐수배출량 2000㎥ 미만
