사업장 명칭,방류구,측정일시,측정방법,수소이온농도,총유기탄소(㎎/L),부유물질(㎎/L),총질소(㎎/L),총인(㎎/L),유량(㎥/s),24시간 평균치,일일 평균 농도,일일 배출량,초과오염물질,초과농도,초과량,초과시간,배출허용기준,방류수수질기준
데모금속(주),1배출구,2026-03-02 06:00,자동측정기기,7.9,9.4,3.4,5.7,2.9,0.038,19.8,14.3,348.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-03 12:00,자동측정기기,8.0,22.4,27.6,36.8,2.5,0.043,15.6,20.4,394.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-04 06:00,자동측정기기,6.6,17.2,15.2,40.4,3.9,0.041,13.2,3.0,134.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-05 18:00,자동측정기기,6.6,5.4,18.5,46.3,4.3,0.007,4.8,19.1,236.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-06 00:00,자동측정기기,8.4,20.8,17.0,32.3,5.8,0.02,5.9,15.9,91.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-07 06:00,자동측정기기,7.8,19.5,22.1,46.1,3.0,0.01,3.2,7.3,90.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-08 18:00,자동측정기기,7.2,17.3,8.1,25.4,3.8,0.04,9.3,10.4,62.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-09 06:00,자동측정기기,8.4,18.8,20.1,40.3,4.0,0.032,11.6,10.0,393.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-10 12:00,자동측정기기,8.2,13.6,15.7,49.9,3.7,0.004,13.3,19.6,388.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-11 12:00,자동측정기기,7.2,8.7,9.0,29.6,6.4,0.007,7.5,10.9,49.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-12 18:00,자동측정기기,6.8,7.3,14.8,53.5,5.6,0.031,11.7,20.4,77.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-13 06:00,자동측정기기,7.8,7.4,14.2,7.2,0.8,0.014,22.0,21.9,289.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-14 12:00,자동측정기기,8.1,6.3,23.1,16.8,2.7,0.016,21.3,7.3,83.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-15 18:00,자동측정기기,8.5,22.0,12.9,33.8,1.2,0.044,13.2,17.8,85.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-16 06:00,자동측정기기,8.1,22.6,4.6,28.7,3.5,0.046,9.3,8.1,110.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-17 06:00,자동측정기기,6.6,19.2,24.4,42.0,5.0,0.025,15.1,2.2,171.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-18 12:00,자동측정기기,7.7,14.6,24.5,32.1,6.1,0.023,13.9,8.1,172.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-19 18:00,자동측정기기,8.4,15.3,3.9,48.0,5.8,0.024,13.4,17.0,117.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-20 18:00,자동측정기기,6.7,23.8,15.0,51.9,2.7,0.015,21.7,16.7,285.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-21 12:00,자동측정기기,7.9,23.1,6.8,7.9,6.8,0.015,5.5,4.5,350.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-22 00:00,자동측정기기,7.1,19.4,5.8,13.0,0.8,0.017,3.8,19.3,201.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-23 06:00,자동측정기기,7.5,4.2,24.6,27.3,0.6,0.034,13.3,13.9,243.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-24 00:00,자동측정기기,6.5,7.8,16.5,19.5,4.8,0.003,9.8,2.7,137.0,,,,,25.0,20.0
데모금속(주),1배출구,2026-03-25 12:00,자동측정기기,6.7,15.1,23.9,34.3,3.0,0.045,13.6,20.3,371.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-02 00:00,자동측정기기,7.2,10.0,5.6,48.7,6.0,0.043,15.1,19.1,273.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-03 06:00,자동측정기기,8.5,11.0,5.2,36.4,5.9,0.013,6.4,9.1,148.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-04 18:00,자동측정기기,6.8,5.6,14.0,10.7,2.4,0.002,14.7,11.2,161.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-05 00:00,자동측정기기,6.9,16.3,26.7,33.1,6.7,0.009,6.5,4.5,308.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-06 00:00,자동측정기기,7.0,13.3,18.3,21.9,1.2,0.037,17.0,9.3,118.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-07 06:00,자동측정기기,8.0,11.6,11.2,8.0,6.4,0.036,19.1,19.5,221.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-08 18:00,자동측정기기,6.8,20.3,24.7,48.9,1.0,0.033,3.8,2.4,141.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-09 12:00,자동측정기기,6.8,18.9,25.3,45.6,4.7,0.036,2.9,17.6,133.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-10 06:00,자동측정기기,6.6,5.8,19.2,47.7,5.1,0.05,14.7,10.0,233.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-11 12:00,자동측정기기,7.1,3.5,16.6,34.8,4.6,0.037,4.6,3.0,145.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-12 12:00,자동측정기기,7.3,9.5,17.2,16.5,5.3,0.004,21.7,19.7,248.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-13 06:00,자동측정기기,8.0,3.2,26.3,5.0,2.3,0.014,17.5,9.1,62.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-14 18:00,자동측정기기,7.6,14.2,27.3,50.1,2.7,0.04,7.9,7.5,98.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-15 18:00,자동측정기기,8.3,13.5,27.2,40.4,4.2,0.046,11.0,16.8,276.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-16 06:00,자동측정기기,7.6,6.6,15.4,48.4,4.1,0.047,9.4,12.9,223.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-17 06:00,자동측정기기,7.9,23.9,16.6,6.6,2.5,0.024,11.4,16.9,68.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-18 00:00,자동측정기기,6.9,19.6,23.8,18.7,4.7,0.022,8.2,14.7,242.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-19 12:00,자동측정기기,8.2,6.8,17.7,38.3,2.9,0.044,9.1,19.5,337.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-20 00:00,자동측정기기,6.9,23.0,12.8,49.8,2.6,0.043,14.9,2.7,254.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-21 18:00,자동측정기기,7.8,5.2,19.1,50.5,3.2,0.004,12.3,14.6,61.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-22 06:00,자동측정기기,8.4,9.0,20.5,19.0,5.4,0.02,21.4,8.7,162.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-23 12:00,자동측정기기,7.3,18.6,9.8,45.2,1.6,0.014,10.3,16.0,392.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-24 00:00,자동측정기기,7.9,3.0,17.3,45.6,5.3,0.015,8.6,21.1,48.0,,,,,25.0,20.0
데모금속(주),2배출구,2026-03-25 18:00,자동측정기기,7.6,13.0,9.3,36.2,0.8,0.025,7.5,19.6,171.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-02 06:00,자동측정기기,7.6,20.2,9.5,10.6,2.6,0.009,7.6,22.0,190.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-03 18:00,자동측정기기,7.1,16.4,11.1,54.1,6.7,0.049,17.0,4.0,347.0,,,,,25.0,20.0
데모섬유공업(주),1배출구,2026-03-04 06:00,자동측정기기,8.0,23.6,13.6,25.8,2.3,0.014,6.8,13.0,122.0,,,,,25.0,20.0
