사업장 명칭,방류구,시료채취일,시료구분,측정대행업소명,수소이온농도,생물화학적산소요구량(㎎/L),생물화학적산소요구량 배출허용기준,화학적산소요구량(㎎/L),화학적산소요구량 배출허용기준,부유물질(㎎/L),부유물질 배출허용기준,총질소(㎎/L),총질소 배출허용기준,총인(㎎/L),총인 배출허용기준,총유기탄소(㎎/L),총유기탄소 배출허용기준
데모금속(주),1배출구,2026-03-02,원폐수,데모환경분석(주),6.6,17.9,30.0,36.5,40.0,40.7,30.0,71.6,60.0,3.2,8.0,35.8,25.0
데모금속(주),1배출구,2026-03-02,방류수,데모환경분석(주),8.3,10.2,30.0,29.7,40.0,13.9,30.0,48.7,60.0,0.5,8.0,18.2,25.0
데모금속(주),1배출구,2026-03-09,원폐수,데모환경분석(주),7.0,33.2,30.0,74.8,40.0,38.3,30.0,170.7,60.0,3.2,8.0,90.5,25.0
데모금속(주),1배출구,2026-03-09,방류수,데모환경분석(주),8.4,23.4,30.0,20.4,40.0,14.6,30.0,17.8,60.0,6.8,8.0,17.8,25.0
데모금속(주),1배출구,2026-03-16,원폐수,데모환경분석(주),7.2,104.5,30.0,31.5,40.0,84.6,30.0,125.3,60.0,21.8,8.0,10.2,25.0
데모금속(주),1배출구,2026-03-16,방류수,데모환경분석(주),6.6,21.0,30.0,21.5,40.0,22.7,30.0,37.0,60.0,1.5,8.0,16.7,25.0
데모금속(주),1배출구,2026-03-23,원폐수,데모환경분석(주),7.9,28.7,30.0,62.0,40.0,77.8,30.0,161.1,60.0,22.7,8.0,72.9,25.0
데모금속(주),1배출구,2026-03-23,방류수,데모환경분석(주),8.3,9.6,30.0,21.9,40.0,13.9,30.0,7.4,60.0,0.8,8.0,8.3,25.0
데모금속(주),1배출구,2026-03-30,원폐수,데모환경분석(주),7.3,64.3,30.0,144.7,40.0,76.3,30.0,149.6,60.0,8.8,8.0,35.7,25.0
데모금속(주),1배출구,2026-03-30,방류수,데모환경분석(주),6.7,9.1,30.0,36.6,40.0,7.3,30.0,54.6,60.0,2.7,8.0,21.5,25.0
데모금속(주),1배출구,2026-04-06,원폐수,데모환경분석(주),6.9,62.7,30.0,65.0,40.0,30.5,30.0,179.1,60.0,26.2,8.0,29.0,25.0
데모금속(주),1배출구,2026-04-06,방류수,데모환경분석(주),7.3,19.6,30.0,32.0,40.0,11.4,30.0,29.6,60.0,1.8,8.0,11.6,25.0
데모금속(주),1배출구,2026-04-13,원폐수,데모환경분석(주),7.1,45.7,30.0,88.6,40.0,97.3,30.0,35.9,60.0,18.8,8.0,78.6,25.0
데모금속(주),1배출구,2026-04-13,방류수,데모환경분석(주),8.0,26.0,30.0,14.2,40.0,5.7,30.0,35.6,60.0,5.1,8.0,12.6,25.0
데모금속(주),1배출구,2026-04-20,원폐수,데모환경분석(주),7.3,57.3,30.0,45.7,40.0,67.6,30.0,210.1,60.0,2.7,8.0,59.1,25.0
데모금속(주),1배출구,2026-04-20,방류수,데모환경분석(주),7.7,8.9,30.0,7.2,40.0,18.3,30.0,25.1,60.0,4.5,8.0,14.4,25.0
데모금속(주),2배출구,2026-03-02,원폐수,데모환경분석(주),8.1,7.1,30.0,28.8,40.0,13.1,30.0,163.5,60.0,23.3,8.0,86.2,25.0
