번호,공동시설명,검사여부,미검사사유,검사일자,검사결과,일반세균 중온,총대장균군,분원성대장균군,암모니아성 질소,질산성 질소,과망간산칼륨소비량
1,금정구 수박골,검사,,2025-10-21,적합,0,불검출,불검출,불검출,1.3 ,0.3
2,금정구 삼밭골,검사,,2025-10-21,적합,0,불검출,불검출,불검출,0.8 ,0.5
3,금정구 호국사,검사,,2025-10-21,적합,0,불검출,불검출,불검출,1.0 ,0.4
4,금정구 참샘골,검사,,2025-10-29,적합,0,불검출,불검출,불검출,1.5 ,0.6
5,금정구 정암,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.4 ,0.6
6,금정구 물망골,검사,,2025-10-29,적합,0,불검출,불검출,불검출,3.3 ,0.7
7,금정구 용머리,검사,,2025-10-29,적합,0,불검출,불검출,불검출,0.8 ,1.3
8,금정구 제일,검사,,2025-11-10,적합,1,불검출,불검출,불검출,3.0 ,0.4
9,금정구 서곡,검사,,2025-11-10,적합,0,불검출,불검출,불검출,0.9 ,0.5
10,금정구 서천,검사,,2025-11-10,적합,0,불검출,불검출,불검출,3.8 ,0.3
11,금정구 여명,검사,,2025-11-10,적합,0,불검출,불검출,불검출,5.4 ,0.4
12,금정구 윤산,검사,,2025-11-10,적합,0,불검출,불검출,불검출,3.3 ,0.3
13,금정구 금양,검사,,2025-11-10,적합,0,불검출,불검출,불검출,0.6 ,0.3
14,금정구 놋정,검사,,2025-11-12,적합,0,불검출,불검출,불검출,0.6 ,0.4
15,금정구 부곡,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.0 ,0.4
16,기장군 용소,검사,,2025-10-13,부적합,65,검출,불검출,불검출,0.5,0.9
17,기장군 불광산,검사,,2025-10-13,부적합,0,검출,불검출,불검출,0.1,0.3
18,남구 체육공원,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.1,0.4
19,남구 문현,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.6,0.4
20,남구 중앙늘샘쉼터,검사,,2025-11-10,적합,0,불검출,불검출,불검출,0.7,0.6
21,남구 청수,검사,,2025-11-10,적합,0,불검출,불검출,불검출,0.7,0.4
22,남구 안창,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2,불검출
23,남구 대연샘,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.2,0.4
24,남구 장산,검사,12.23일 지정해제,2025-11-10,부적합,63,검출,불검출,불검출,0.6,0.5
25,남구 장군묘,검사,,2025-11-10,적합,0,불검출,불검출,불검출,0.6,0.3
26,남구 이기대큰고개,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.8,0.4
27,남구 이기대,검사,,2025-11-10,적합,0,불검출,불검출,불검출,2.6,0.3
28,동구 만리산,검사,,2025-11-26,적합,0,불검출,불검출,불검출,0.5,불검출
29,동구 청조,검사,,2025-11-26,적합,0,불검출,불검출,불검출,2.1,불검출
30,동구 수정샘,검사,,2025-11-26,적합,0,불검출,불검출,불검출,0.6,0.3
31,동구 만수,검사,,2025-11-26,적합,0,불검출,불검출,불검출,3.5,불검출
32,동구 새구봉천,검사,,2025-11-26,적합,0,불검출,불검출,불검출,0.5,0.3
33,동구 백운사,검사,,2025-11-26,부적합,25,검출,검출,불검출,2,0.3
34,동구 수정4동체육공원,검사,,2025-11-26,적합,0,불검출,불검출,불검출,0.4,불검출
35,동구 금샘,검사,,2025-11-26,적합,0,불검출,불검출,불검출,2.4,불검출
36,동래구 수산대,검사,,2025-11-18,적합,6,불검출,불검출,불검출,0.4,0.6
37,동래구 대덕사,검사,,2025-11-18,적합,1,불검출,불검출,불검출,1,0.3
38,동래구 만수정,검사,,2025-11-18,적합,0,불검출,불검출,불검출,3.7,0.4
39,동래구 금강1,검사,,2025-11-18,적합,0,불검출,불검출,불검출,4,0.5
40,동래구 금강2,검사,,2025-11-18,적합,0,불검출,불검출,불검출,5.6,0.5
41,동래구 쇠미,검사,,2025-11-18,적합,1,불검출,불검출,불검출,1.2,0.4
