측정소명,년,월,수온,용존산소량,생물학적 산소요구량,화학적 산소요구량,부유물질,총소질소,총인,총유기탄소,수소이온농도,페놀류,전기전도도,총대장균군수,질산성 질소,용존총인,인산염인,클로로필,분원성대장균군수,데이터기준일자
안양천2,2025,01,5.4,9.1,6.1,8.1,11.1,6.569,0.063,4.7,6.9,정량한계미만,639,21000,3.232,0.044,0.004,2.3,2600,2025-12-29
안양천2,2025,02,4.1,8.8,5.9,8.6,2.5,11.032,0.042,4.7,7,정량한계미만,637,21000,2.62,0.03,정량한계미만,0.6,2600,2025-12-29
안양천2,2025,03,13.1,10.1,6.9,7.7,7.1,5.919,0.114,4.8,7.5,정량한계미만,546,17000,3.138,0.069,0.04,2.3,810,2025-12-29
안양천2,2025,04,16.2,7.1,8.8,5.6,6.4,8.835,0.073,6.2,7.3,정량한계미만,652,108000,2.816,0.034,0.006,3,12400,2025-12-29
안양천2,2025,05,19.1,8.7,1.8,5.7,5.3,4.253,0.049,3.6,7.4,정량한계미만,457,44000,2.274,0.035,0.015,1.6,1400,2025-12-29
안양천2,2025,06,23.6,6.8,1.3,7.5,2.7,6.011,0.049,4.8,7.2,정량한계미만,574,38000,5.285,0.034,정량한계미만,0.4,1600,2025-12-29
안양천2,2025,07,21.9,7.6,1.2,6.2,3.8,4.174,0.061,4.9,6.7,정량한계미만,613,130000,3.518,0.05,0.017,3.4,4600,2025-12-29
안양천2,2025,08,22.2,9.5,1.3,6.3,1.6,4.313,0.054,5,7,정량한계미만,582,45000,3.298,0.048,0.027,0.8,4100,2025-12-29
안양천2,2025,09,25.8,7.1,2,4,6.4,4.418,0.074,3.3,7.8,정량한계미만,360,400000,3.736,0.059,0.046,1.5,19000,2025-12-29
안양천2,2025,10,15.9,9.3,1.5,3.8,14,3.952,0.075,2.6,7.6,정량한계미만,351,170000,2.624,0.067,0.065,0.9,22000,2025-12-29
