구분,시천천_심곡천수온,시천천_심곡천수소이온농도,시천천_심곡천용존산소,시천천_심곡천생물학적 산소요구량,시천천_심곡천화학적 산소요구량,시천천_심곡천부유물질,시천천_심곡천총대장균군,시천천_심곡천분원성대장균군,공촌천_수온,공촌천_수소이온농도,공촌천_용존산소,공촌천_생물학적 산소요구량,공촌천_화학적 산소요구량,공촌천_부유물질,공촌천_총대장균군,공촌천_분원성대장균군,굴포천_수온,굴포천_수소이온농도,굴포천_용존산소,굴포천_생물학적 산소요구량,굴포천_화학적 산소요구량,굴포천_부유물질,굴포천_총대장균군,굴포천_분원성대장균군,승기천_수온,승기천_수소이온농도,승기천_용존산소,승기천_생물학적 산소요구량,승기천_화학적 산소요구량,승기천_부유물질,승기천_총대장균군,승기천_분원성대장균군,만수천_수온,만수천_수소이온농도,만수천_용존산소,만수천_생물학적 산소요구량,만수천_화학적 산소요구량,만수천_부유물질,만수천_총대장균군,만수천_분원성대장균군,학익배수구_수온,학익배수구_수소이온농도,학익배수구_용존산소,학익배수구_생물학적 산소요구량,학익배수구_화학적 산소요구량,학익배수구_부유물질,학익배수구_총대장균군,학익배수구_분원성대장균군 ,송현배수구_수온,송현배수구_수소이온농도,송현배수구_용존산소,송현배수구_생물학적 산소요구량,송현배수구_화학적 산소요구량,송현배수구_부유물질,송현배수구_총대장균군,송현배수구_분원성대장균군 ,서부간선오수로_수온,서부간선오수로_수소이온농도,서부간선오수로_용존산소,서부간선오수로_생물학적 산소요구량,서부간선오수로_화학적 산소요구량,서부간선오수로_부유물질,서부간선오수로_총대장균군,서부간선오수로_분원성대장균군 ,장수천_수온,장수천_수소이온농도,장수천_용존산소,장수천_생물학적 산소요구량,장수천_화학적 산소요구량,장수천_부유물질,장수천_총대장균군,장수천_분원성대장균군 ,선행천_수온,선행천_수소이온농도,선행천_용존산소,선행천_생물학적 산소요구량,선행천_화학적 산소요구량,선행천_부유물질,선행천_총대장균군,선행천_분원성대장균군 ,내가천_수온,내가천_수소이온농도,내가천_용존산소,내가천_생물학적 산소요구량,내가천_화학적 산소요구량,내가천_부유물질,내가천_총대장균군,내가천_분원성대장균군 ,나진포천_수온,나진포천_수소이온농도,나진포_천용존산소,나진포천_생물학적 산소요구량,나진포천_화학적 산소요구량,나진포천_부유물질,나진포천_총대장균군,나진포천_분원성대장균군 
2017-01-01,8.9,7.3,6,7.5,13.3,15.6,2,2000,6.6,7.6,13.4,3.5,4.4,1.2,2,2000,4.8,7.5,12.1,2.9,5.2,3.2,17,2000,10.1,7,8.4,3.1,5.2,2.8,4,200,5.8,7.4,12,2.3,3.6,4.8,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.5,12.1,2.1,4.2,2.4,540,27,6.2,8.7,8.7,2,4.3,3.2,3000,0,6,7.4,12.5,4.1,11.5,22.4,5,5,6,7.4,10,5.4,7.3,4,7,4
2017-02-01,5.9,7.5,9.6,10.1,13.3,10,7,2000,14.1,7.6,8.2,5.1,4.4,1.5,11,270,3.4,7.4,14.6,4.6,4.8,8.4,39,270,7.7,7.1,8.1,6.7,11.8,1.5,14,900,4.5,7.2,15,2.6,3.6,4.3,8,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,7,12,3.3,4.4,1.6,14,280,5.4,8.2,14.2,1.6,3.6,2,36000,910,0,0,0,0,0,0,0,0,5,7.3,11.8,10,7.9,8,21,5
2017-03-01,9.7,7.5,8.4,6.3,12.9,8.9,2,2000,14.3,7.2,13.2,3.4,5.7,2.4,2,2000,7.1,7.8,12.6,4.1,8.3,7.6,27,2000,9.6,6.9,10.6,4.9,13.1,3.6,130,2,7.1,7.7,12.4,2.2,6.7,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,7.5,12.2,2.3,5,1.2,22,200,13.2,8.4,11.7,5,5.7,31.3,10000,300,5.2,7.8,13.2,4.5,9.7,33.2,27,7,7.9,8,12.7,7.2,13.6,7.2,20,200
2017-04-01,15.3,7.6,9.1,9.1,13.3,6.4,5,2000,20.6,7.8,14.6,4.2,6.3,8.4,7,2000,13.3,7.9,13.7,3,6.8,4.9,14,2000,13.4,7,8.8,5.2,9.9,6.8,7,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,7.6,11.3,2.5,5.1,2.9,13,280,10.9,8.8,12.1,7.8,7.1,12.7,500000,4800,14.3,7.8,13.6,6.8,15.1,33.2,200,2,13.3,7.6,10.9,13.6,7.9,8.8,49,7900
2017-05-01,19.2,8.7,12.4,9.9,16.1,11.6,27,600,20.9,8.3,10.8,2.8,7.9,2.8,1400,2000,20,7.9,10.8,3,5.3,4,34,2000,19.4,7.3,10,2.5,9.8,1.6,17,140,19.9,7.9,10,3.3,7.6,39.2,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,7.7,9.6,2.5,4.8,10.4,17,200,19.5,8.5,7.4,2.3,6.6,14.8,140000,1300,20.7,7.5,8.2,5.7,14.5,34,8,8,19.5,7.7,9.9,5.7,9.8,2.4,1600,21
2017-06-01,25,8.4,11.2,5.1,13.2,11.6,680,450,27.1,7.9,8.7,1.8,9.3,4.4,450,200,26.3,8.3,11,2.4,6.5,8.8,400,200,24.1,7.5,11.4,4.7,11.6,5.6,2200,170,28.5,9.4,14,2.9,7.8,37.6,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8.8,10.9,2,6.5,21.2,40,1200,21.3,7.2,7.8,5,8.4,11,400000,2100,23,8.1,10,8.8,9.7,58.7,22,2,25.6,8,9.4,9.4,12.2,4.8,110000,4500
2017-07-01,28,7.7,4.9,4.2,12.3,34.4,17000,3900,28.4,7.8,8.3,2.1,9.1,6,2600,140,25.8,7.3,5.1,23.8,21.8,18.8,5400000,140,25.2,7.7,4.2,2.4,11,4,22000,330,23.5,7.6,5.7,26.7,23.8,33.3,9200000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,8,8.9,1.7,7,26.4,2400,23,22.9,7.7,8.6,1.2,4.9,5.2,230000,4100,29.9,8.4,11.3,16.3,32.4,82,110,110,26.6,7.9,6.5,5,8.8,6,4000,2200
2017-08-01,29.1,8,5.5,3.6,6.6,10.6,24000,7900,27.5,8.3,9.6,3.3,6.6,2,3300000,2300000,27.1,7.6,3.8,3.6,7.1,4.8,55000,2300000,25.6,7.5,4.6,2,8.3,1.1,3300,2400,25.1,7.7,6.3,4.3,9.7,33.5,130000,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,7.8,8.5,1.7,5.5,8,4900,3300,26.3,7.6,4.6,1.1,13.6,17.3,800000,10800,29.7,8.5,8.4,6.9,17.6,43.2,1700,1700,24.5,7.8,7.6,7.3,8.2,5.7,240000,130000
2017-09-01,25.8,8.6,6.7,6.6,15.3,43.5,1700,330,27.1,8.5,7.5,3.8,6.5,4.3,11000,6800,27.8,8.2,6.3,1.3,5.4,3.2,400,6800,24.5,7.8,5.3,1.8,9.1,2.4,1400,170,23.5,8,5.8,4.5,6.9,22,340,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,8,6.3,2.3,5.9,9.2,170,23,21.8,8.1,8.9,1.3,5.5,4.2,340000,6800,23.7,7.7,5,13.5,18.3,52,13,13,25.8,7.9,4.6,9.8,8.5,20.3,4900,40
2017-10-01,22.7,8.7,4,6.6,13.8,24.5,34000,13,24.1,8.4,4.3,3.8,9,3,46,280,20.6,8.2,7.9,1.3,6.8,25.6,930,280,22.6,8.1,4.9,1.8,11.7,3.1,320,33,21.2,7.4,6.1,4.5,14.2,181,170,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,8.5,8.2,2.3,5.8,3.2,93,23,19.1,9.1,11.2,0.7,4.2,4.6,200000,3100,21.3,8,6,13.5,21.8,26,170,2,19.8,7.8,3.9,9.8,13.4,9.2,93,13
