해당연도,하천명,구분,시료채취일,온도,수소이온농도,생물화학적산소요구량,화학적산소요구량,총 유기탄소,부유물질,용존산소,총인,총대장균군,분원성대장균군,생태독성(TU),관련부서,데이터기준일자
2024,강정천,1분기,2024-03-14,16.7,8,0.6,0.2,불검출,0.3,10.8,0.057,210,22,0,보건환경연구원,2024-12-16
2024,대왕수천,1분기,2024-03-14,17.7,8.3,0.6,2.6,0.8,9.9,10.2,0.074,2500,110,0,보건환경연구원,2024-12-16
2024,동홍천,1분기,2024-03-14,16.1,7.2,0.5,0.1,불검출,0.6,11.1,0.097,3200,290,0,보건환경연구원,2024-12-16
2024,산지천,1분기,2024-03-14,14.9,7.3,0.7,0.1,불검출,0.1,9.5,0.106,1600,25,0,보건환경연구원,2024-12-16
2024,악근천,1분기,2024-03-14,17.6,8.4,0.6,0.4,불검출,0.5,11.5,0.07,390,6,0,보건환경연구원,2024-12-16
2024,연외천,1분기,2024-03-14,16.2,7.9,0.7,0.4,0.5,0.7,10.5,0.104,2100,470,0,보건환경연구원,2024-12-16
2024,예래천,1분기,2024-03-14,14.4,8.2,0.8,1,0.6,1,11,0.042,920,8,0,보건환경연구원,2024-12-16
2024,옹포천,1분기,2024-03-14,17.4,7.9,0.6,0.3,0.4,0.9,9.9,0.089,3500,94,0,보건환경연구원,2024-12-16
2024,외도천,1분기,2024-03-14,16.9,8.2,1,0.1,불검출,0.6,10.8,0.077,680,26,0,보건환경연구원,2024-12-16
2024,중문천,1분기,2024-03-14,14.9,8.2,0.8,0.4,불검출,0.6,11.9,0.046,520,28,0,보건환경연구원,2024-12-16
2024,창고천,1분기,2024-03-14,14,8,1,1.4,1,2.8,11,0.039,420,3,0,보건환경연구원,2024-12-16
2024,효돈천,1분기,2024-03-14,10.7,7.4,1.2,0.7,불검출,0.1,11.1,0.064,250,2,0,보건환경연구원,2024-12-16
2024,강정천,2분기,2024-06-03,17.7,7.9,0.3,0.1,0.7,0.3,9.9,0.048,140,8,0,보건환경연구원,2024-12-16
2024,대왕수천,2분기,2024-06-03,21.7,8,0.2,2,1.1,7.4,9,0.064,2100,64,0,보건환경연구원,2024-12-16
2024,동홍천,2분기,2024-06-03,17,7.1,0.6,0.3,0.6,0.9,9.8,0.076,2300,50,0,보건환경연구원,2024-12-16
2024,산지천,2분기,2024-06-03,15.9,7.3,0.9,0.7,0.7,0.6,9.2,0.108,4400,340,0,보건환경연구원,2024-12-16
2024,악근천,2분기,2024-06-03,19.1,8.1,0.4,0.1,0.8,0.5,10.2,0.052,160,3,0,보건환경연구원,2024-12-16
2024,연외천,2분기,2024-06-03,16.9,7.5,0.4,0.4,0.5,0.5,9.6,0.076,2400,620,0,보건환경연구원,2024-12-16
2024,예래천,2분기,2024-06-03,20.7,8.5,0.6,1.5,1.2,2,9.9,0.038,1500,170,0,보건환경연구원,2024-12-16
2024,옹포천,2분기,2024-06-03,25.8,7.8,0.6,0.3,1.1,1.3,9.2,0.086,3400,68,0,보건환경연구원,2024-12-16
2024,외도천,2분기,2024-06-03,25.2,8.2,0.8,0.1,0.6,0.4,9.2,0.065,280,6,0,보건환경연구원,2024-12-16
2024,중문천,2분기,2024-06-03,19.5,8.5,0.4,0.4,1,1,11.9,0.041,210,5,0,보건환경연구원,2024-12-16
2024,창고천,2분기,2024-06-03,22.2,8.2,0.3,2.4,1.6,3.3,10,0.026,250,23,0,보건환경연구원,2024-12-16
2024,효돈천,2분기,2024-06-03,16.9,7.4,0.6,0.1,0.7,0.1,9.4,0.067,160,27,0,보건환경연구원,2024-12-16
2024,강정천,3분기,2024-08-06,18.8,7.9,0.4,0.3,불검출,0.8,9.3,0.047,310,64,0,보건환경연구원,2024-12-16
2024,대왕수천,3분기,2024-08-06,21.7,8.2,0.4,0.3,0.5,5.6,9.2,0.056,4200,230,0,보건환경연구원,2024-12-16
2024,동홍천,3분기,2024-08-06,18.3,7.2,0.4,0.4,0.5,0.3,9.6,0.075,4200,620,0,보건환경연구원,2024-12-16
2024,산지천,3분기,2024-08-06,22.2,7.4,1.1,0.4,불검출,0.5,8.7,0.115,2000,720,0,보건환경연구원,2024-12-16
2024,악근천,3분기,2024-08-06,18.5,7.9,0.5,0.3,0.6,0.4,9.5,0.053,320,49,0,보건환경연구원,2024-12-16
2024,연외천,3분기,2024-08-06,17.7,7.6,0.3,0.3,0.5,0.8,9.7,0.078,1440,470,0,보건환경연구원,2024-12-16
2024,예래천,3분기,2024-08-06,25.3,8.5,0.3,0.3,0.8,2.2,9.4,0.052,2100,43,0,보건환경연구원,2024-12-16
2024,옹포천,3분기,2024-08-06,17,7.9,0.5,0.4,0.5,3.1,10,0.094,2400,115,0,보건환경연구원,2024-12-16
2024,외도천,3분기,2024-08-06,17.9,7.3,0.4,0.5,0.5,0.1,10,0.067,460,70,0,보건환경연구원,2024-12-16
2024,중문천,3분기,2024-08-06,20.9,8.3,0.3,0.3,0.5,1.2,9.9,0.049,960,160,0,보건환경연구원,2024-12-16
2024,창고천,3분기,2024-08-06,27.6,8.5,0.3,1,1.4,3.6,10.2,0.034,880,112,0,보건환경연구원,2024-12-16
2024,효돈천,3분기,2024-08-06,21.4,7.4,0.3,0.2,0.9,0.4,8.4,0.054,420,12,0,보건환경연구원,2024-12-16
