code,name_ko,name_en,abbr,synonyms,unit,category,legal_basis,verified,note,legal_status,is_toxic_substance,toxic_substance_basis,legal_article,legal_effective_from,synonym_count,source_count
WQ-001,생물화학적산소요구량,Biochemical Oxygen Demand,BOD,itemBod|생화학적 산소요구량|생물학적 산소요구량|BOD5|비오디,㎎/L,유기물,물환경보전법 시행규칙 별표 13,Y,별표 13 가목 2) 표. 같은 표 안에서 '생물화학적 산소요구량'(띄어쓰기)으로도 표기됨 — 동의어로 등록,statutory,False,별표 3 목록에 없음,제34조,2020-01-01,10,8
WQ-002,총유기탄소량,Total Organic Carbon,TOC,itemToc|TOT_OC|총 유기탄소|티오씨,㎎/L,유기물,물환경보전법 시행규칙 별표 13,Y,2020.1.1부터 COD를 대체한 현행 유기물 지표,statutory,False,별표 3 목록에 없음,제34조,2020-01-01,8,7
WQ-003,화학적산소요구량,Chemical Oxygen Demand,COD,itemCod|CODMn|CODCr|씨오디,㎎/L,유기물,물환경보전법 시행규칙 별표 13,Y,"별표 13 가목 1), 2019.12.31까지 적용. 과거 데이터 호환용 — 현행 기준으로 쓰면 안 됨",superseded,False,,제34조,2008-01-01,9,6
WQ-004,부유물질량,Suspended Solids,SS,itemSs|부유물질|SSQTY|현탁물질|에스에스,㎎/L,일반,물환경보전법 시행규칙 별표 13,Y,,statutory,False,별표 3 목록에 없음,제34조,2020-01-01,10,8
WQ-008,수소이온농도,Hydrogen Ion Concentration,pH,itemPh|TOT_PH|PH_ITEM_VL|HION_DNST|산도|피에이치|수소이온지수,-,일반,물환경보전법 시행규칙 별표 13,Y,법령은 단위 없이 범위(5.8~8.6)로 규정,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,14,12
WQ-012,노말헥산추출물질함유량 광유류,"n-Hexane Extractable Material, Mineral Oil",n-H광유,노르말헥산추출물질,㎎/L,유류,물환경보전법 시행규칙 별표 13,Y,'노말헥산추출물질함유량' 아래 광유류/동식물유지류 2개 행으로 규정 — 별개 항목으로 분리해야 함,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,1,1
WQ-013,노말헥산추출물질함유량 동식물유지류,"n-Hexane Extractable Material, Animal and Vegetable Fats and Oils",n-H동식물,itemNhex,㎎/L,유류,물환경보전법 시행규칙 별표 13,Y,,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,1,1
WQ-015,페놀류함유량,Phenols,,itemPhenol|페놀류|페놀류화합물,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,Y,단일물질 '페놀'(WQ-030)과 별개 항목. 법령에 두 행이 따로 있음,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,3,3
WQ-030,페놀,Phenol,,PHNL|석탄산,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,Y,2017.1.1 기준부터 별도 항목으로 신설,statutory,True,물환경보전법 시행규칙 별표 3 제29호(페놀),제34조,2017-01-01,3,3
WQ-031,펜타클로로페놀,Pentachlorophenol,PCP,,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,Y,,statutory,True,물환경보전법 시행규칙 별표 3 제30호(펜타클로로페놀),제34조,2017-01-01,0,0
WQ-016,시안함유량,Cyanide,CN,itemCn|시안화합물|시안(CN)|시안화물,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,Y,,statutory,True,물환경보전법 시행규칙 별표 3 제5호(시안화합물),제34조,2021-01-01,7,6
WQ-017,크롬함유량,Chromium,Cr,itemCr|크롬|총크롬,㎎/L,중금속,물환경보전법 시행규칙 별표 13,Y,총크롬. 6가크롬(WQ-018)과 별개,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,3,3
WQ-025,용해성철함유량,Dissolved Iron,Fe,itemFe|용존철,㎎/L,중금속,물환경보전법 시행규칙 별표 13,Y,,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,2,2
WQ-024,아연함유량,Zinc,Zn,itemZn|아연화합물,㎎/L,중금속,물환경보전법 시행규칙 별표 13,Y,,statutory,False,별표 3 목록에 없음,제34조,2021-01-01,2,2
