code,std_name,name_en,abbr,unit,category,legal_basis,legal_article,legal_effective_from,legal_revision,legal_status,is_toxic_substance,toxic_substance_basis,source_url,review_status,reviewed_by,reviewed_at,note
WQ-001,생물화학적산소요구량,Biochemical Oxygen Demand,BOD,㎎/L,유기물,물환경보전법 시행규칙 별표 13,제34조,2020-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,별표 13 가목 2) 표. 같은 표 안에서 '생물화학적 산소요구량'(띄어쓰기)으로도 표기됨 — 동의어로 등록
WQ-002,총유기탄소량,Total Organic Carbon,TOC,㎎/L,유기물,물환경보전법 시행규칙 별표 13,제34조,2020-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,2020.1.1부터 COD를 대체한 현행 유기물 지표
WQ-003,화학적산소요구량,Chemical Oxygen Demand,COD,㎎/L,유기물,물환경보전법 시행규칙 별표 13,제34조,2008-01-01,개정 2025. 3. 20.,superseded,False,,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,"별표 13 가목 1), 2019.12.31까지 적용. 과거 데이터 호환용 — 현행 기준으로 쓰면 안 됨"
WQ-004,부유물질량,Suspended Solids,SS,㎎/L,일반,물환경보전법 시행규칙 별표 13,제34조,2020-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-008,수소이온농도,Hydrogen Ion Concentration,pH,-,일반,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,법령은 단위 없이 범위(5.8~8.6)로 규정
WQ-012,노말헥산추출물질함유량 광유류,"n-Hexane Extractable Material, Mineral Oil",n-H광유,㎎/L,유류,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,'노말헥산추출물질함유량' 아래 광유류/동식물유지류 2개 행으로 규정 — 별개 항목으로 분리해야 함
WQ-013,노말헥산추출물질함유량 동식물유지류,"n-Hexane Extractable Material, Animal and Vegetable Fats and Oils",n-H동식물,㎎/L,유류,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
WQ-015,페놀류함유량,Phenols,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2021-01-01,개정 2025. 3. 20.,statutory,False,별표 3 목록에 없음,https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,단일물질 '페놀'(WQ-030)과 별개 항목. 법령에 두 행이 따로 있음
WQ-030,페놀,Phenol,-,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2017-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제29호(페놀),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,2017.1.1 기준부터 별도 항목으로 신설
WQ-031,펜타클로로페놀,Pentachlorophenol,PCP,㎎/L,유해물질,물환경보전법 시행규칙 별표 13,제34조,2017-01-01,개정 2025. 3. 20.,statutory,True,물환경보전법 시행규칙 별표 3 제30호(펜타클로로페놀),https://www.law.go.kr/법령/물환경보전법시행규칙,verified,,,
