측정일자,사업장명,BOD,pH,화학적산소,현장메모
2025-01-15,한강 제1측정지점,18.2,7.1,31.5,갈색빛 관찰
2025-02-15,한강 제1측정지점,21.4,7,35.8,특이사항 없음
2025-03-15,한강 제1측정지점,24.1,6.9,42.3,강우 후 채수
2025-04-15,한강 제1측정지점,27.8,7.2,47.2,유량 증가
2025-05-15,한강 제1측정지점,32.6,7.3,51.1,냄새 약간 발생
2025-06-15,한강 제1측정지점,29.5,7.1,45.7,특이사항 없음
2025-07-15,한강 제1측정지점,35.3,7.4,58.4,고온기 측정
2025-08-15,한강 제1측정지점,38.7,7.5,62.6,조류 관찰
2025-09-15,한강 제1측정지점,30.2,7.2,49.8,강우 직후
2025-10-15,한강 제1측정지점,25.8,7,41.2,특이사항 없음
2025-11-15,한강 제1측정지점,22.1,6.8,36.9,수온 하락
2025-12-15,한강 제1측정지점,19.6,6.9,33.4,동절기 측정
